"original_url","subject","filename","version"
"s3://hcp-openaccess/HCP_1200/177342/MNINonLinear/177342.L.pial_MSMAll.164k_fs_LR.surf.gii","177342","MNINonLinear//177342.L.pial_MSMAll.164k_fs_LR.surf.gii","pLfQ8IRuVH3.KbNY3HH06_HVnEvaUPP."
"s3://hcp-openaccess/HCP_1200/177342/MNINonLinear/177342.L.refsulc.164k_fs_LR.shape.gii","177342","MNINonLinear//177342.L.refsulc.164k_fs_LR.shape.gii","3OVpp4HyEaceGNAqS6WkZ.M.uwNZ7GH3"
"s3://hcp-openaccess/HCP_1200/177342/MNINonLinear/177342.L.sphere.164k_fs_LR.surf.gii","177342","MNINonLinear//177342.L.sphere.164k_fs_LR.surf.gii","kWeuS_1n19p0H7AD58IpG7w9kmMdzJlS"
"s3://hcp-openaccess/HCP_1200/177342/MNINonLinear/177342.L.sulc.164k_fs_LR.shape.gii","177342","MNINonLinear//177342.L.sulc.164k_fs_LR.shape.gii","BiqxiigRZSL37YcBWY99p2JOYGGv_XqB"
"s3://hcp-openaccess/HCP_1200/177342/MNINonLinear/177342.L.thickness.164k_fs_LR.shape.gii","177342","MNINonLinear//177342.L.thickness.164k_fs_LR.shape.gii","GqSrr08NfOvWEz4eeJxefouyXxQaM0oh"
"s3://hcp-openaccess/HCP_1200/177342/MNINonLinear/177342.L.very_inflated.164k_fs_LR.surf.gii","177342","MNINonLinear//177342.L.very_inflated.164k_fs_LR.surf.gii","XfqcbPN55.DZcYIYU._0rHKw2U8IZA51"
"s3://hcp-openaccess/HCP_1200/177342/MNINonLinear/177342.L.very_inflated_MSMAll.164k_fs_LR.surf.gii","177342","MNINonLinear//177342.L.very_inflated_MSMAll.164k_fs_LR.surf.gii","FKCAKX2ZJ8iNGYqkDJ04KXbMomAcRTNb"
"s3://hcp-openaccess/HCP_1200/177342/MNINonLinear/177342.L.white.164k_fs_LR.surf.gii","177342","MNINonLinear//177342.L.white.164k_fs_LR.surf.gii","Bq5e5pLVUscvs3gMlRWdRNQDs3.G32zZ"
"s3://hcp-openaccess/HCP_1200/177342/MNINonLinear/177342.L.white_MSMAll.164k_fs_LR.surf.gii","177342","MNINonLinear//177342.L.white_MSMAll.164k_fs_LR.surf.gii","hbuEp43CE5bMqSDdBLhEHgaZqqFoIdS3"
"s3://hcp-openaccess/HCP_1200/177342/MNINonLinear/177342.MSMAll.164k_fs_LR.wb.spec","177342","MNINonLinear//177342.MSMAll.164k_fs_LR.wb.spec","15zj3Q7PjnUS7.74k1UUaVhF0Dk2O6s2"
"s3://hcp-openaccess/HCP_1200/177342/MNINonLinear/177342.MyelinMap.164k_fs_LR.dscalar.nii","177342","MNINonLinear//177342.MyelinMap.164k_fs_LR.dscalar.nii",".SRSLxXLs7e9uug2sDwxX_D0oMP6tMJJ"
"s3://hcp-openaccess/HCP_1200/177342/MNINonLinear/177342.MyelinMap_BC.164k_fs_LR.dscalar.nii","177342","MNINonLinear//177342.MyelinMap_BC.164k_fs_LR.dscalar.nii","g48IjRJA7EJ_jYHr_BYE.E2K0evdy3Br"
"s3://hcp-openaccess/HCP_1200/177342/MNINonLinear/177342.MyelinMap_BC_MSMAll.164k_fs_LR.dscalar.nii","177342","MNINonLinear//177342.MyelinMap_BC_MSMAll.164k_fs_LR.dscalar.nii","60wm.1ZwxUJNhHThbdF6nA6bWkJV6Yzd"
